,base_model,type_model,task,sample_type,nb_samples,loss_computation,config,prompt_time_r1,prompt_time_r2,bleu_1_r1,bleu_2_r1,bleu_3_r1,bleu_4_r1,rouge_1_r1,rouge_2_r1,rouge_L_r1,rouge_Lsum_r1,bert_p_r1,bert_r_r1,bert_f1_r1,roberta_p_r1,roberta_r_r1,roberta_f1_r1,bleu_1_auto_r1,bleu_2_auto_r1,bleu_3_auto_r1,bleu_4_auto_r1,rouge_1_auto_r1,rouge_2_auto_r1,rouge_L_auto_r1,rouge_Lsum_auto_r1,bert_p_auto_r1,bert_r_auto_r1,bert_f1_auto_r1,roberta_p_auto_r1,roberta_r_auto_r1,roberta_f1_auto_r1,bleu_1_r2,bleu_2_r2,bleu_3_r2,bleu_4_r2,rouge_1_r2,rouge_2_r2,rouge_L_r2,rouge_Lsum_r2,bert_p_r2,bert_r_r2,bert_f1_r2,roberta_p_r2,roberta_r_r2,roberta_f1_r2,bleu_1_auto_r2,bleu_2_auto_r2,bleu_3_auto_r2,bleu_4_auto_r2,rouge_1_auto_r2,rouge_2_auto_r2,rouge_L_auto_r2,rouge_Lsum_auto_r2,bert_p_auto_r2,bert_r_auto_r2,bert_f1_auto_r2,roberta_p_auto_r2,roberta_r_auto_r2,roberta_f1_auto_r2
349,Llama-3.1-8B,BASE,task-2,automatic,,,,19.070602,4.030763,0.5787545787545788,0.46586797167541694,0.39162694071766957,0.3370314876803656,0.6651162790697674,0.4252336448598131,0.5581395348837209,0.6325581395348837,0.7949085831642151,0.8442596197128296,0.8188411593437195,0.8957534432411194,0.9333574771881104,0.9141689538955688,0.7054357066522255,0.5627376862343189,0.4564833828202887,0.3806012321696974,0.6904761904761905,0.4262948207171315,0.5833333333333333,0.6746031746031746,0.843493640422821,0.8138629198074341,0.8284134268760681,0.9112739562988281,0.9233701229095459,0.9172821640968323,0.284098507124941,0.15812388201676184,0.06840419544940757,0.0,0.3577235772357724,0.11570247933884298,0.2764227642276422,0.2764227642276422,0.5321348309516907,0.6125888228416443,0.5695345997810364,0.8454824090003967,0.884667694568634,0.8646313548088074,0.3025022651664832,0.20575988331658937,0.13413223852079303,0.09148589473432318,0.43795620437956206,0.22222222222222224,0.36496350364963503,0.36496350364963503,0.5868543982505798,0.647398054599762,0.6156413555145264,0.8631319403648376,0.9029440879821777,0.8825892210006714
350,Llama-3.1-8B,BASE,task-2,manual,,,,13.880717,2.452953,0.6255924170616114,0.4942458333714207,0.4030039085189924,0.34106191307989736,0.728862973760933,0.44574780058651026,0.565597667638484,0.6647230320699709,0.7701376676559448,0.8403769731521606,0.8037256598472595,0.9037672281265259,0.9357259273529053,0.9194689989089966,0.6204206418059529,0.4827468477008496,0.38918768007582993,0.3234103847791701,0.6950354609929078,0.40855106888361054,0.5484633569739953,0.6572104018912529,0.8080861568450928,0.767287015914917,0.7871583104133606,0.9144040942192078,0.9146214127540588,0.9145127534866333,0.3220681041416009,0.2379245141978045,0.17894390617942701,0.1347888619728541,0.509090909090909,0.27777777777777773,0.36363636363636365,0.36363636363636365,0.7360330820083618,0.6838053464889526,0.708958625793457,0.9240789413452148,0.8962339758872986,0.9099434614181519,0.26514586864867634,0.1986189075332132,0.1470742857495998,0.10992413572584382,0.47863247863247865,0.2608695652173913,0.37606837606837606,0.37606837606837606,0.7116451263427734,0.6442936658859253,0.6762967109680176,0.9145697951316833,0.8917897939682007,0.9030362367630005
351,Llama-3.1-8B,BASE,task-2,automatic,,,,13.885416,2.453868,0.6255924170616114,0.4942458333714207,0.4030039085189924,0.34106191307989736,0.728862973760933,0.44574780058651026,0.565597667638484,0.6647230320699709,0.7701376676559448,0.8403769731521606,0.8037256598472595,0.9037672281265259,0.9357259273529053,0.9194689989089966,0.6204206418059529,0.4827468477008496,0.38918768007582993,0.3234103847791701,0.6950354609929078,0.40855106888361054,0.5484633569739953,0.6572104018912529,0.8080861568450928,0.767287015914917,0.7871583104133606,0.9144040942192078,0.9146214127540588,0.9145127534866333,0.3220681041416009,0.2379245141978045,0.17894390617942701,0.1347888619728541,0.509090909090909,0.27777777777777773,0.36363636363636365,0.36363636363636365,0.7360330820083618,0.6838053464889526,0.708958625793457,0.9240789413452148,0.8962339758872986,0.9099434614181519,0.26514586864867634,0.1986189075332132,0.1470742857495998,0.10992413572584382,0.47863247863247865,0.2608695652173913,0.37606837606837606,0.37606837606837606,0.7116451263427734,0.6442936658859253,0.6762967109680176,0.9145697951316833,0.8917897939682007,0.9030362367630005
352,Llama-3.1-8B,BASE,task-2,manual,,,,13.001802,2.525489,0.6612021857923497,0.53232731034541,0.45457972014257053,0.39783201161658266,0.7037037037037036,0.43478260869565216,0.6172839506172839,0.691358024691358,0.7907751798629761,0.8233516216278076,0.8067346811294556,0.9028255939483643,0.9291986227035522,0.9158223271369934,0.6263569085713449,0.5041435383121612,0.4188017429739808,0.35395855092668804,0.7055702917771882,0.4373333333333333,0.6047745358090185,0.6737400530503979,0.8501380085945129,0.7850872278213501,0.816318690776825,0.9167475700378418,0.9205507040023804,0.9186452031135559,0.21975835719770892,0.11114950032219795,0.04911915170226986,0.0,0.3478260869565218,0.05309734513274336,0.2434782608695652,0.2434782608695652,0.6479519605636597,0.5993481874465942,0.6227031350135803,0.8984495401382446,0.8759130239486694,0.8870381712913513,0.37218926846002504,0.21736786003803807,0.15997365208529754,0.12475804714884836,0.4600000000000001,0.16326530612244897,0.25999999999999995,0.25999999999999995,0.6937618851661682,0.6142734885215759,0.6516024470329285,0.9138867259025574,0.8921323418617249,0.9028785228729248
353,Llama-3.1-8B,BASE,task-2,automatic,,,,12.994851,2.522486,0.6612021857923497,0.53232731034541,0.45457972014257053,0.39783201161658266,0.7037037037037036,0.43478260869565216,0.6172839506172839,0.691358024691358,0.7907751798629761,0.8233516216278076,0.8067346811294556,0.9028255939483643,0.9291986227035522,0.9158223271369934,0.6263569085713449,0.5041435383121612,0.4188017429739808,0.35395855092668804,0.7055702917771882,0.4373333333333333,0.6047745358090185,0.6737400530503979,0.8501380085945129,0.7850872278213501,0.816318690776825,0.9167475700378418,0.9205507040023804,0.9186452031135559,0.21975835719770892,0.11114950032219795,0.04911915170226986,0.0,0.3478260869565218,0.05309734513274336,0.2434782608695652,0.2434782608695652,0.6479519605636597,0.5993481874465942,0.6227031350135803,0.8984495401382446,0.8759130239486694,0.8870381712913513,0.37218926846002504,0.21736786003803807,0.15997365208529754,0.12475804714884836,0.4600000000000001,0.16326530612244897,0.25999999999999995,0.25999999999999995,0.6937618851661682,0.6142734885215759,0.6516024470329285,0.9138867259025574,0.8921323418617249,0.9028785228729248
354,Llama-3.1-8B,BASE,task-2,manual,,,,9.988606,2.550528,0.5654624443813631,0.4386505988359955,0.36788775997881257,0.31756708481990753,0.5952380952380952,0.368,0.5317460317460317,0.5873015873015873,0.7585924863815308,0.7494087815284729,0.7539726495742798,0.9065629839897156,0.911373496055603,0.9089618921279907,0.452749054069292,0.3682296147969873,0.3082840031367886,0.26654803600902904,0.6045016077170419,0.37540453074433655,0.5209003215434084,0.5787781350482315,0.8163083791732788,0.7160289883613586,0.7628874182701111,0.9187285900115967,0.9043680429458618,0.9114917516708374,0.1551639833149679,0.07203668147618472,0.0,0.0,0.29752066115702475,0.06722689075630252,0.1983471074380165,0.1983471074380165,0.5925248861312866,0.5483080148696899,0.5695595741271973,0.8821420669555664,0.865108072757721,0.873542070388794,0.15994130736589557,0.10350948278985905,0.06887806575502277,0.03997581377306234,0.31932773109243695,0.11965811965811966,0.25210084033613445,0.25210084033613445,0.5893286466598511,0.533275842666626,0.5599028468132019,0.889980137348175,0.8727430105209351,0.8812772631645203
355,Llama-3.1-8B,BASE,task-2,automatic,,,,9.986076,2.549498,0.5654624443813631,0.4386505988359955,0.36788775997881257,0.31756708481990753,0.5952380952380952,0.368,0.5317460317460317,0.5873015873015873,0.7585924863815308,0.7494087815284729,0.7539726495742798,0.9065629839897156,0.911373496055603,0.9089618921279907,0.452749054069292,0.3682296147969873,0.3082840031367886,0.26654803600902904,0.6045016077170419,0.37540453074433655,0.5209003215434084,0.5787781350482315,0.8163083791732788,0.7160289883613586,0.7628874182701111,0.9187285900115967,0.9043680429458618,0.9114917516708374,0.1551639833149679,0.07203668147618472,0.0,0.0,0.29752066115702475,0.06722689075630252,0.1983471074380165,0.1983471074380165,0.5925248861312866,0.5483080148696899,0.5695595741271973,0.8821420669555664,0.865108072757721,0.873542070388794,0.15994130736589557,0.10350948278985905,0.06887806575502277,0.03997581377306234,0.31932773109243695,0.11965811965811966,0.25210084033613445,0.25210084033613445,0.5893286466598511,0.533275842666626,0.5599028468132019,0.889980137348175,0.8727430105209351,0.8812772631645203
356,Llama-3.1-8B,BASE,task-2,manual,,,,17.023454,3.587668,0.5381165919282511,0.4485395576981163,0.3856410519859497,0.3378891723574934,0.6552706552706552,0.44126074498567336,0.5698005698005697,0.6438746438746439,0.8162915706634521,0.8385903835296631,0.8272907137870789,0.8972684741020203,0.9282556772232056,0.9124991297721863,0.6547085201793722,0.5348516947656515,0.4448304044053113,0.3797878034109227,0.6867167919799498,0.4584382871536524,0.5664160401002505,0.6716791979949874,0.8462617993354797,0.8014117479324341,0.823226273059845,0.9042707681655884,0.9181309342384338,0.9111480712890625,0.31936516148331223,0.14796442730949333,0.09147532670344906,0.06078735928544563,0.3296703296703297,0.08988764044943819,0.2417582417582418,0.2637362637362637,0.5338555574417114,0.5540299415588379,0.5437556505203247,0.8416884541511536,0.8803101181983948,0.8605661988258362,0.3561388764008908,0.2274395375422496,0.16856790388635728,0.11599461474363786,0.391304347826087,0.19999999999999998,0.32608695652173914,0.32608695652173914,0.5691176652908325,0.6236993074417114,0.5951597094535828,0.8443126082420349,0.8955785632133484,0.8691903352737427
357,Llama-3.1-8B,BASE,task-2,automatic,,,,17.038093,3.58708,0.5381165919282511,0.4485395576981163,0.3856410519859497,0.3378891723574934,0.6552706552706552,0.44126074498567336,0.5698005698005697,0.6438746438746439,0.8162915706634521,0.8385903835296631,0.8272907137870789,0.8972684741020203,0.9282556772232056,0.9124991297721863,0.6547085201793722,0.5348516947656515,0.4448304044053113,0.3797878034109227,0.6867167919799498,0.4584382871536524,0.5664160401002505,0.6716791979949874,0.8462617993354797,0.8014117479324341,0.823226273059845,0.9042707681655884,0.9181309342384338,0.9111480712890625,0.31936516148331223,0.14796442730949333,0.09147532670344906,0.06078735928544563,0.3296703296703297,0.08988764044943819,0.2417582417582418,0.2637362637362637,0.5338555574417114,0.5540299415588379,0.5437556505203247,0.8416884541511536,0.8803101181983948,0.8605661988258362,0.3561388764008908,0.2274395375422496,0.16856790388635728,0.11599461474363786,0.391304347826087,0.19999999999999998,0.32608695652173914,0.32608695652173914,0.5691176652908325,0.6236993074417114,0.5951597094535828,0.8443126082420349,0.8955785632133484,0.8691903352737427
358,Llama-3.1-8B,BASE,task-2,manual,,,,20.304331,1.624506,0.5667870036101083,0.46656089270735296,0.39523875730745306,0.3366477506795948,0.6295503211991434,0.41290322580645156,0.5524625267665952,0.6252676659528907,0.7902199029922485,0.7721102237701416,0.7810600996017456,0.9002400636672974,0.8979603052139282,0.8990987539291382,0.5068425837969014,0.415801837946572,0.3448712969197601,0.2871585854527303,0.5782688766114181,0.3733826247689464,0.49355432780847147,0.5709023941068141,0.795089840888977,0.7170277833938599,0.7540438771247864,0.9026488661766052,0.8841626644134521,0.8933101296424866,0.0318296503688736,0.016272506365279316,0.010488654364330321,0.0,0.15555555555555556,0.04545454545454545,0.11111111111111112,0.11111111111111112,0.5382755994796753,0.44889992475509644,0.4895418882369995,0.8721967339515686,0.8319342732429504,0.8515899181365967,0.011794640143148535,0.007479121674487753,0.006058108178595133,0.005136211247936261,0.20168067226890754,0.08547008547008547,0.1512605042016807,0.1512605042016807,0.6173766255378723,0.4658573865890503,0.5310199856758118,0.8925405740737915,0.8367149233818054,0.8637266755104065
